Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D	
Act	6	18	Which of these rose up and disputed with Stephen?	9	D	The Cyrenians	The Alexandrians	Those from Cilicia and Asia	All of the above	
Act	6	19	Those who disputed with Stephen could not withstand what?	10	D	The signs and wonders he performed	The crowds that followed him	The angels that surrounded him	The wisdom and the Spirit with which he was speaking	
Act	6	20	The secretly instigated men claimed to have heard Stephen speak blasphemous words against Moses and whom?	11	A	God	The temple	The prophets	Caesar	
Act	6	21	After they seized Stephen, before whom did they bring him?	12	B	The tribune	The council	Pontius Pilate	King Herod	
Act	6	22	Whom did they stir up against Stephen?	12	D	The people	The elders	The scribes	All of the above	
Act	6	23	The false witnesses claimed Stephen never ceased to speak words against the law and what else?	13	A	This holy place	The Roman governor	The synagogue of the Freedmen	The daily distribution	
Act	6	24	The witnesses said Jesus of Nazareth would change the customs that whom delivered to them?	14	C	Abraham	David	Moses	The prophets	
Act	6	25	As all who sat in the council gazed at Stephen, his face was like the face of what?	15	B	Moses	An angel	A blazing torch	A well-groomed camel	
Act	7	1	Who responded to Stephen with the question, 'Are these things so?'	1	C	The Roman tribune	Pontius Pilate	The high priest	King Herod	
Act	7	2	According to Stephen, where was Abraham when the God of glory appeared to him?	2	D	In Haran	In Egypt	In the land of Canaan	In Mesopotamia	
Act	7	3	How did Stephen begin addressing his audience?	2	D	'Men of Athens.'	'Men of Israel.'	'Friends and countrymen.'	'Brothers and fathers, hear me.'	
Act	7	4	What did God tell Abraham to go out from?	3	D	Egypt and its riches	The city of Solomon	The temple courts	His land and his kindred	
Act	7	5	From what land did Abraham go out before he lived in Haran?	4	B	The land of Midian	The land of the Chaldeans	The land of Canaan	The wilderness of Sinai	
Act	7	6	When did God remove Abraham into the land where Stephen's hearers now lived?	4	B	Before he left Ur	After his father died	When he was forty years old	After the famine ended	
Act	7	7	How much inheritance did God give Abraham in the land?	5	A	None, not even a foot's length	A field and a cave	The whole land of Canaan	A modest timeshare in Haran	
Act	7	8	What did God promise to give Abraham and his offspring, though Abraham had no child?	5	B	A great army	The land as a possession	Seventy-five servants	A house built by Solomon	
Act	7	9	For how long did God say Abraham's offspring would be enslaved and afflicted?	6	A	Four hundred years	Forty years	Seventy years	Four hundred and thirty years	
Act	7	10	In what kind of land did God say Abraham's offspring would be sojourners?	6	A	A land belonging to others	The land of the Chaldeans	The land of Midian	A land flowing with milk and honey	
Act	7	11	What did God say he would do to the nation that Abraham's offspring served?	7	D	Destroy it with fire	Scatter it among the nations	Enslave it in turn	Judge it	
Act	7	12	After coming out, where did God say Abraham's offspring would worship him?	7	C	On Mount Sinai	In the land of Midian	In this place	In the wilderness	
Act	7	13	What covenant did God give Abraham?	8	D	The covenant of the Sabbath	The covenant of salt	The covenant of the law	The covenant of circumcision	
Act	7	14	On which day did Abraham circumcise Isaac?	8	A	The eighth day	The seventh day	The fortieth day	The first day	
Act	7	15	Jacob became the father of how many patriarchs?	8	D	The seventy patriarchs	The seventy-five patriarchs	The two patriarchs	The twelve patriarchs	
Act	7	16	Why did the patriarchs sell Joseph into Egypt?	9	C	They feared his dreams	They needed silver	They were jealous of him	God commanded them	
Act	7	17	Though the patriarchs sold Joseph, who was with him?	9	C	An angel	His father Jacob	God	Pharaoh	
Act	7	18	Before whom did God give Joseph favor and wisdom?	10	B	The king of Babylon	Pharaoh, king of Egypt	The high priest	Herod the king	
Act	7	19	Over what did Pharaoh make Joseph ruler?	10	B	The Red Sea	Egypt and all his household	The land of Midian	The tent of witness	
Act	7	20	The famine came throughout all Egypt and what other land?	11	A	Canaan	Midian	Mesopotamia	The vineyards of Napa Valley	
Act	7	21	What did Jacob hear was in Egypt?	12	B	Gold	Grain	A new king	Kindred	
Act	7	22	On which visit did Joseph make himself known to his brothers?	13	B	The first visit	The second visit	The third visit	The seventh visit	
Act	7	23	How many persons in all did Joseph summon?	14	B	Seventy persons	Seventy-five persons	Twelve persons	Four hundred persons	
Act	7	24	Whom did Joseph send and summon to Egypt?	14	A	Jacob his father and all his kindred	The twelve patriarchs only	Pharaoh and his household	The sons of Hamor	
Act	7	25	Which of the following is true according to Stephen's speech about the patriarchs and Joseph?	9-14	A	The patriarchs, jealous of Joseph, sold him into Egypt	Joseph revealed himself to his brothers on their first visit to Egypt	Jacob and all his kindred numbered fifty-five persons in all	All of the above	
Act	7	26	Where did Jacob go down and die, he and the fathers?	15	A	Egypt	Haran	Canaan	Shechem	
Act	7	27	To what place were the fathers carried back and laid in a tomb?	16	D	Hebron	Bethlehem	Haran	Shechem	
Act	7	28	From whom had Abraham bought the tomb in Shechem?	16	A	The sons of Hamor	The sons of Heth	Pharaoh's household	The sons of Levi	
Act	7	29	With what had Abraham bought the tomb in Shechem?	16	D	A herd of cattle	Thirty pieces of gold	A caravan of prize camels	A sum of silver	
Act	7	30	As the time of the promise drew near, what happened to the people in Egypt?	17	C	They were scattered	They forgot the promise	They increased and multiplied	They built a temple	
Act	7	31	What was true of the new king who arose over Egypt?	18	B	He worshiped the God of Jacob	He did not know Joseph	He was a friend of Moses	He freed the Israelites	
Act	7	32	What did the new king force the fathers to do to their infants?	19	D	Circumcise them	Sell them into slavery	Send them to Canaan	Expose them	
Act	7	33	How did the new king deal with the race of Israel?	19	D	Mercifully	Generously	Fearfully	Shrewdly	
Act	7	34	How is Moses described at the time he was born?	20	B	Mighty in stature	Beautiful in God's sight	Wise beyond his years	Frail and small	
Act	7	35	For how long was the newborn Moses brought up in his father's house?	20	C	Forty days	Three years	Three months	A leisurely nine months	
Act	7	36	Who adopted Moses when he was exposed?	21	C	Pharaoh's wife	An Egyptian priest	Pharaoh's daughter	A daughter of Levi	
Act	7	37	In what was Moses instructed?	22	C	All the law of Moses	The wisdom of the Chaldeans	All the wisdom of the Egyptians	The living oracles of God	
Act	7	38	Moses was mighty in what?	22	D	Signs and wonders	War and peace	Song and dance	His words and deeds	
Act	7	39	How old was Moses when it came into his heart to visit his brothers?	23	A	Forty years old	Thirty years old	Eighty years old	Twenty years old	
Act	7	40	How did Moses avenge the man he saw being wronged?	24	A	By striking down the Egyptian	By calling on the Lord	By summoning the elders	By fleeing with him	
Act	7	41	What did Moses suppose his brothers would understand?	25	A	That God was giving them salvation by his hand	That he was sent by Pharaoh	That the famine would end	That he would be their king	
Act	7	42	On the following day, what were the two men doing when Moses appeared to them?	26	A	Quarreling	Worshiping idols	Building with bricks	Fleeing Egypt	
Act	7	43	What did the man who was wronging his neighbor say to Moses?	27	A	'Who made you a ruler and a judge over us?'	'Are these things so?'	'What must I do to be saved?'	'Do you know the law?'	
Act	7	44	The man asked if Moses wanted to kill him as Moses had killed whom the day before?	28	B	A Midianite	The Egyptian	His neighbor	An Israelite	
Act	7	45	To what land did Moses flee and become an exile?	29	C	The land of the Chaldeans	The wilderness of Sinai	The land of Midian	The land of Canaan	
Act	7	46	How many sons did Moses father in the land of Midian?	29	D	Twelve	Three	Enough to field a soccer team	Two	
Act	7	47	After how many years had passed did an angel appear to Moses in the wilderness?	30	C	Thirty years	Four hundred years	Forty years	Three years	
Act	7	48	In what wilderness did the angel appear to Moses?	30	D	The wilderness of Midian	The wilderness by the Red Sea	The wilderness of Canaan	The wilderness of Mount Sinai	
Act	7	49	In what form did the angel appear to Moses?	30	B	In a pillar of cloud	In a flame of fire in a bush	In a rushing wind	In a puff of purple smoke	
Act	7	50	How did Moses react when he saw the burning bush?	31	C	He was afraid and fled	He fell asleep	He was amazed at the sight	He was enraged	
Act	7	51	When the voice said 'I am the God of your fathers,' whom did it name?	32	D	The God of Abraham	The God of Isaac	The God of Jacob	All of the above	
Act	7	52	How did Moses respond to the voice of the Lord?	32	C	He hid his face in worship	He ran toward the bush	He trembled and did not dare to look	He fell asleep	
Act	7	53	What did the Lord tell Moses to take off?	33	A	The sandals from his feet	His cloak	His crown	His outer garment	
Act	7	54	Why was Moses told to take off his sandals?	33	A	The place where he stood was holy ground	The ground was scorching hot	He was entering a temple	He was standing before a king	
Act	7	55	What did God say he had done concerning his people in Egypt?	34	D	Seen their affliction	Heard their groaning	Come down to deliver them	All of the above	
Act	7	56	From the bush, where did God say he would send Moses?	34	D	To Midian	To Canaan	To Mount Sinai	To Egypt	
Act	7	57	God sent Moses as both ruler and what?	35	B	Judge	Redeemer	Prophet	Priest	
Act	7	58	By whose hand did God send Moses as ruler and redeemer?	35	D	Aaron his brother	Pharaoh's daughter	The elders of Israel	The angel who appeared to him in the bush	
Act	7	59	Where did Moses perform wonders and signs as he led the people out?	36	D	In Egypt	At the Red Sea	In the wilderness	All of the above	
Act	7	60	For how long did Moses lead the people, performing wonders in the wilderness?	36	A	Forty years	Four hundred years	Three months	Seventy years	
Act	7	61	What did Moses say God would raise up for the Israelites from their brothers?	37	C	A king like David	A priest forever	A prophet like me	A ruler and a judge	
Act	7	62	What did Moses receive to give to the people?	38	C	The tent of witness	The covenant of circumcision	Living oracles	The tablets of Solomon	
Act	7	63	How did the fathers respond to Moses?	39	B	They followed him faithfully	They refused to obey and thrust him aside	They made him their king	They put him to death	
Act	7	64	To whom did the people speak, asking for gods to go before them?	40	B	Moses	Aaron	Joshua	Samuel	
Act	7	65	What did the people say they did not know about Moses?	40	C	Where he was born	Who his father was	What had become of him	How old he was	
Act	7	66	What did the people make in those days?	41	A	A calf	A golden throne	A tent of witness	An altar of stone	
Act	7	67	In what were the people rejoicing after making the idol?	41	A	The works of their hands	The wisdom of the Egyptians	Their deliverance from Egypt	An impressive ledger of offerings	
Act	7	68	To worship what did God give the people over?	42	D	The idols of Egypt	The tent of Moloch	The golden calf again	The host of heaven	
Act	7	69	Whose tent did the people take up?	43	C	The tent of witness	The tent of Rephan	The tent of Moloch	The tent of David	
Act	7	70	The star of which god did the people take up?	43	B	Moloch	Rephan	Baal	Dagon	
Act	7	71	Beyond what place did God say he would send them into exile?	43	D	Beyond Egypt	Beyond the Red Sea	Beyond Midian	Beyond Babylon	
Act	7	72	What did the fathers have with them in the wilderness?	44	A	The tent of witness	The ark of Solomon	The temple of God	The tent of Moloch	
Act	7	73	According to what was the tent of witness to be made?	44	A	The pattern that Moses had seen	The wisdom of the Egyptians	The design of Solomon	The vision of David	
Act	7	74	With whom did the fathers bring in the tent when they dispossessed the nations?	45	D	David	Solomon	Aaron	Joshua	
Act	7	75	Until whose days did the tent remain, after the nations were driven out?	45	D	The days of Solomon	The days of Joshua	The days of Samuel	The days of David	
Act	7	76	What did David ask to find for the God of Jacob?	46	B	A golden throne	A dwelling place	A tent of witness	A city of refuge	
Act	7	77	Who built a house for God?	47	D	David	Joshua	A traveling circus troupe	Solomon	
Act	7	78	Where does the Most High not dwell?	48	D	In the tent of witness	In the heavens	In the wilderness	In houses made by hands	
Act	7	79	According to the prophet Stephen quotes, what does the Lord call his throne?	49	A	Heaven	The temple	Mount Sinai	The earth	
Act	7	80	According to the prophet Stephen quotes, what does the Lord call his footstool?	49	B	The sea	The earth	The temple	Zion	
Act	7	81	In the prophet's words that Stephen quotes, what does the Lord say his hand made?	50	B	The temple in Jerusalem	All these things	Only the heavens	Houses made by hands	
Act	7	82	How did Stephen describe his hearers as a people?	51	A	Stiff-necked, uncircumcised in heart and ears	Wise and understanding	Faithful and obedient	Humble and contrite	
Act	7	83	Whom did Stephen say his hearers always resist?	51	D	The prophets	The law	The angels	The Holy Spirit	
Act	7	84	What did Stephen say the fathers did to the prophets?	52	C	Honored them	Ignored them	Persecuted them	Crowned them	
Act	7	85	The fathers killed those who announced beforehand the coming of whom?	52	A	The Righteous One	The Son of Man	The prophet like Moses	The King of Israel	
Act	7	86	What did Stephen accuse his hearers of doing to the Righteous One?	52	D	Denying and mocking him	Selling and exiling him	Ignoring and forgetting him	Betraying and murdering him	
Act	7	87	How did Stephen say his hearers had received the law?	53	C	As written by Moses	As spoken by prophets	As delivered by angels	As given at the temple	
Act	7	88	How did the council react when they heard Stephen's words?	54	D	They repented and wept	They fell silent and departed	They believed and were baptized	They were enraged and ground their teeth at him	
Act	7	89	What did Stephen, full of the Holy Spirit, see as he gazed into heaven?	55	C	A flame of fire in a bush	The host of heaven	The glory of God, and Jesus standing at the right hand of God	The tent of witness	
Act	7	90	Whom did Stephen say he saw standing at the right hand of God?	56	A	The Son of Man	The Righteous One	An angel of the Lord	Moses the lawgiver	
Act	7	91	What did the crowd do when Stephen said he saw the Son of Man?	57	C	Tore their garments and fled	Fell silent and departed	Cried out, stopped their ears, and rushed together at him	Bowed down in fear	
Act	7	92	Where did they take Stephen to stone him?	58	C	To the temple	Into the wilderness	Out of the city	To the Red Sea	
Act	7	93	At whose feet did the witnesses lay down their garments?	58	D	The high priest	Gamaliel	Pharaoh's daughter	A young man named Saul	
Act	7	94	What did Stephen call out as they were stoning him?	59	B	'Father, forgive them.'	'Lord Jesus, receive my spirit.'	'Into your hands I commit my spirit.'	'My God, why have you forsaken me?'	
Act	7	95	What did Stephen cry with a loud voice as he fell to his knees?	60	D	'Lord, remember me.'	'Lord, judge these men.'	'Lord, save your people.'	'Lord, do not hold this sin against them.'	
Act	7	96	What happened to Stephen after he prayed for his killers?	60	A	He fell asleep	He was healed	He rose up and fled	He was carried away by an angel	
Act	7	97	Which of the following is true about Stephen at his stoning?	55-60	A	He saw the glory of God and Jesus standing at the right hand of God	He saw the Son of Man seated at the right hand of God	He asked the Lord to hold this sin against those stoning him	All of the above	
Act	8	1	According to Acts 8, Saul approved of the execution of which man who had been stoned?	1	B	Peter	Stephen	Philip	John	
Act	8	2	When the great persecution arose in Jerusalem, throughout which regions were the believers scattered?	1	C	Galilee and Syria	Egypt and Libya	Judea and Samaria	Macedonia and Achaia	
Act	8	3	When the church in Jerusalem was scattered by the great persecution, who remained behind and were not scattered?	1	A	The apostles	The deacons	The elders	The scribes	
Act	8	4	Who buried Stephen and made great lamentation over him?	2	C	The apostles	Roman soldiers	Devout men	The high priests	
Act	8	5	According to Acts 8, who was ravaging the church, entering house after house?	3	C	Simon	Herod	Saul	Caiaphas	
Act	8	6	Where did Saul commit those he dragged off from house after house?	3	D	To the temple	To the wilderness	To the council	To prison	
Act	8	7	What did those who were scattered by the persecution go about doing?	4	C	Building synagogues	Collecting an offering	Preaching the word	Hiding in caves	
Act	8	8	What did Philip proclaim to the people when he went down to the city of Samaria?	5	C	The law of Moses	The kingdom of Caesar	The Christ	The end of the age	
Act	8	9	To which city did Philip go down and proclaim the Christ, sparking much joy?	5	D	Gaza	Jericho	The local seaside resort	Samaria	
Act	8	10	How did the crowds in Samaria pay attention to what was being said by Philip?	6	B	With great reluctance	With one accord	In secret	With loud mocking	
Act	8	11	In Samaria, what came out of many who had them, crying out with a loud voice?	7	B	Fever and disease	Unclean spirits	Blindness	Deafness	
Act	8	12	Which of the following did the crowds in Samaria witness in Philip's ministry there?	6-7	D	Signs that Philip did	Unclean spirits coming out of many	Paralyzed or lame people being healed	All of the above	
Act	8	13	What was there in the city of Samaria as a result of Philip's ministry there?	8	C	Much mourning	Much confusion	Much joy	Much fear	
Act	8	14	What was the name of the man in Samaria who had previously practiced magic and amazed the people?	9	A	Simon	Bar-Jesus	Sceva	Demetrius	
Act	8	15	What did Simon the magician say about himself in Samaria?	9	A	That he himself was somebody great	That he was a prophet of Moses	That he was the least of all	That he was a servant of Caesar	
Act	8	16	What had Simon amazed the people of Samaria with for a long time?	9	A	His magic	His singing	His cooking	A traveling circus	
Act	8	17	What did the people of Samaria say about Simon, from the least to the greatest?	10	B	This man is a prophet like Elijah	This man is the power of God that is called Great	This man is the son of David	This man is an angel from heaven	
Act	8	18	Why had the people of Samaria long paid attention to Simon?	11	D	Because he had made them wealthy	Because he had healed their king	Because he had built their temple	Because for a long time he had amazed them with his magic	
Act	8	19	When they believed Philip's preaching in Samaria, about what did he preach good news, along with the name of Jesus Christ?	12	C	The temple of Jerusalem	The throne of David	The kingdom of God	The end of the world	
Act	8	20	According to Acts 8, who himself also believed and, after being baptized, continued with Philip?	13	D	Cornelius	Barnabas	The Ethiopian eunuch	Simon	
Act	8	21	When the apostles at Jerusalem heard that Samaria had received the word of God, whom did they send?	14	D	Barnabas and Saul	Paul and Silas	James and Andrew	Peter and John	
Act	8	22	When Peter and John came down to Samaria, what did they pray that the believers there might receive?	15	C	Wisdom and riches	Healing from sickness	The Holy Spirit	Deliverance from prison	
Act	8	23	Before Peter and John prayed, in whose name had the Samaritan believers only been baptized?	16	D	John the Baptist	Moses	Philip	The Lord Jesus	
Act	8	24	Concerning the Samaritan believers before Peter and John prayed, what had the Holy Spirit not yet done?	16	D	Departed from any of them	Spoken through any of them	Appeared to any of them	Fallen on any of them	
Act	8	25	How did the Samaritan believers receive the Holy Spirit when Peter and John came?	17	D	They were baptized again	They fasted for seven days	They offered a sacrifice	The apostles laid their hands on them	
Act	8	26	When Simon saw the Spirit given through the apostles' hands, what did he offer Peter and John?	18	D	A goat	A basket of figs	A lifetime supply of magic tricks	Money	
Act	8	27	What power did Simon ask Peter and John to give him?	19	A	That anyone on whom he laid his hands might receive the Holy Spirit	That he might raise the dead	That he might command the wind and sea	That he might speak in every tongue	
Act	8	28	What did Peter say should perish with Simon because he thought he could obtain the gift of God with money?	20	A	His silver	His magic	His chariot	His collection of magic wands	
Act	8	29	What did Peter tell Simon he had neither part nor lot in?	21	A	This matter	The kingdom of Caesar	The temple treasury	The land of promise	
Act	8	30	According to Peter, why did Simon have neither part nor lot in this matter?	21	C	Because he had not been baptized	Because he was not a Jew	Because his heart was not right before God	Because he had never seen the apostles	
Act	8	31	What did Peter command Simon to repent of?	22	B	This ignorance of yours	This wickedness of yours	This poverty of yours	This journey of yours	
Act	8	32	Peter told Simon that he saw him to be in the gall of bitterness and in what else?	23	A	The bond of iniquity	The chains of Rome	The pit of despair	The shadow of death	
Act	8	33	In rebuking Simon, which of the following did Peter say to him?	20-23	D	Your heart is not right before God	You have neither part nor lot in this matter	You are in the gall of bitterness	All of the above	
Act	8	34	Peter warned Simon that he was 'in the gall of bitterness.' According to the ESV footnote, what is 'gall'?	23	B	A bitter herb eaten at Passover	A bitter fluid secreted by the liver; bile	A poison drawn from a serpent's fang	Sour wine mixed with myrrh	
Act	8	35	How did Simon answer Peter after being rebuked?	24	D	He cursed Peter and departed	He offered even more money	He fell down dead	He asked Peter to pray to the Lord that none of what was said would come upon him	
Act	8	36	Which of the following is true about Simon in Samaria?	9-24	B	He refused to be baptized after Philip preached the good news	He had previously practiced magic and amazed the people of Samaria	Peter blessed his silver and granted his request for the power	All of the above	
Act	8	37	After Peter and John had testified and spoken the word of the Lord in Samaria, to what city did they return?	25	A	Jerusalem	Antioch	Caesarea	Damascus	
Act	8	38	Who directed Philip to rise and go toward the south to the road that goes down from Jerusalem to Gaza?	26	A	An angel of the Lord	Peter	The Spirit through a vision	A voice from the temple	
Act	8	39	The angel told Philip to go to the road that goes down from Jerusalem to which city?	26	C	Jericho	Joppa	Gaza	Damascus	
Act	8	40	How does Acts 8 describe the road that goes down from Jerusalem to Gaza?	26	C	This is a busy highway	This is a mountain pass	This is a desert place	This is a coastal path	
Act	8	41	What official from Ethiopia did Philip meet on the road, a court official of Candace?	27	A	A eunuch	A centurion	A tax collector	A scribe	
Act	8	42	Candace, whom the Ethiopian eunuch served, held what position?	27	D	Queen of Sheba	Empress of Rome	Priestess of Egypt	Queen of the Ethiopians	
Act	8	43	For what purpose had the Ethiopian eunuch come to Jerusalem?	27	B	To trade for goods	To worship	To collect taxes	To visit the queen	
Act	8	44	As the Ethiopian eunuch was returning, seated in his chariot, which prophet was he reading?	28	D	Jeremiah	Ezekiel	Daniel	Isaiah	
Act	8	45	Which of the following describes the Ethiopian official Philip met on the road?	27-28	D	A court official of Candace	In charge of all her treasure	Reading the prophet Isaiah	All of the above	
Act	8	46	In what was the Ethiopian eunuch seated as he read the prophet Isaiah?	28	A	His chariot	A rowboat	A three-day camel caravan	A borrowed donkey	
Act	8	47	Which of the following is true about the Ethiopian eunuch Philip met on the road?	27-28	C	He was reading the prophet Jeremiah in his chariot	He was traveling toward Jerusalem to worship for the first time	He was a court official of Candace, queen of the Ethiopians, in charge of all her treasure	All of the above	
Act	8	48	Who told Philip to go over and join the eunuch's chariot?	29	C	An angel of the Lord	Peter	The Spirit	A voice from heaven	
Act	8	49	What question did Philip ask the Ethiopian eunuch upon hearing him read Isaiah?	30	D	Where are you traveling from?	Who has sent you here?	Will you give me your treasure?	Do you understand what you are reading?	
Act	8	50	How did the Ethiopian eunuch reply when Philip asked if he understood what he was reading?	31	B	I understand it perfectly well	How can I, unless someone guides me?	Leave me, for I read alone	Why do you trouble me?	
Act	8	51	What did the eunuch invite Philip to do after Philip approached his chariot?	31	D	To lead his horses	To carry his scroll	To ride ahead of him	To come up and sit with him	
Act	8	52	In the passage the eunuch was reading, to what was the one led to the slaughter compared as it was silent before its shearer?	32	A	A lamb	A goat	A dove	An ox	
Act	8	53	According to the Scripture passage the eunuch read, like what was he led to the slaughter?	32	D	Like a bull	Like a ram	Like a calf	Like a sheep	
Act	8	54	According to the Scripture the eunuch was reading, in his humiliation what was denied him?	33	D	Mercy	A burial	A voice	Justice	
Act	8	55	What did the eunuch ask Philip about the prophet's words?	34	C	When these things would come to pass	Where the prophet had written these words	About whom the prophet says this, about himself or about someone else	Why the prophet had been silent	
Act	8	56	Beginning with the Scripture the eunuch was reading, about whom did Philip tell him the good news?	35	D	Moses	Elijah	John the Baptist	Jesus	
Act	8	57	As Philip and the eunuch were going along the road, what did they come to that prompted the eunuch's request to be baptized?	36	D	A synagogue	A great crowd	A city gate	Some water	
Act	8	58	What did the Ethiopian eunuch ask upon seeing water along the road?	36	B	Where does this water lead?	What prevents me from being baptized?	May I drink from this water?	Who else has been baptized here?	
Act	8	59	According to a verse that some manuscripts add after Acts 8:36, what did Philip say the eunuch must do to be baptized?	36-37	C	Confess his sins before the Lord	Be circumcised first	Believe with all his heart	Fast for three days	
Act	8	60	According to a verse that some manuscripts add after Acts 8:36, what did the eunuch reply that he believed?	36-37	D	That Jesus Christ is the Lamb of God	That Jesus of Nazareth is the King of Israel	That Jesus Christ is Lord of all	That Jesus Christ is the Son of God	
Act	8	61	When the eunuch wished to be baptized, what did he command?	38	B	His servants to draw water	The chariot to stop	The horses to be watered	A tent to be pitched	
Act	8	62	Who went down into the water together at the eunuch's baptism?	38	C	Peter and the eunuch	Philip and Simon	Philip and the eunuch	John and the eunuch	
Act	8	63	When Philip and the eunuch came up out of the water, what happened to Philip?	39	D	He fell asleep in the chariot	He returned on foot to Jerusalem	He was struck blind	The Spirit of the Lord carried him away	
Act	8	64	After his baptism, in what state did the Ethiopian eunuch go on his way?	39	D	Fearing	Mourning	Doubting	Rejoicing	
Act	8	65	At what place did Philip find himself after the Spirit carried him away from the eunuch?	40	D	Gaza	Joppa	a quiet tropical island	Azotus	
Act	8	66	To what city did Philip come as he preached the gospel to all the towns from Azotus?	40	D	Jerusalem	Damascus	Tarsus	Caesarea	
Act	9	1	As Acts 9 opens, Saul was breathing threats and murder against whom?	1	B	The Gentiles at Antioch	The disciples of the Lord	The Samaritans	The Roman soldiers	
Act	9	2	To whom did Saul go to obtain his authority against the Way?	1	B	The Roman tribune	The high priest	King Herod	Pontius Pilate	
Act	9	3	Saul asked for letters to the synagogues at which city?	2	D	Antioch	Caesarea	Joppa	Damascus	
Act	9	4	In Acts 9, the followers Saul sought to arrest are described as belonging to what?	2	A	The Way	The Path	The Truth	The Light	
Act	9	5	As Saul approached Damascus, what suddenly shone around him?	3	A	A light from heaven	A pillar of fire	A rushing wind	A blazing angel	
Act	9	6	Falling to the ground on the road to Damascus, Saul heard a voice ask, 'Saul, Saul, why are you' doing what?	4	B	Denying me	Persecuting me	Fleeing me	Testing me	
Act	9	7	When Saul asked, 'Who are you, Lord?', how did the voice identify himself?	5	A	I am Jesus, whom you are persecuting	I am the Lord's angel	I am Moses the lawgiver	I am Elijah the prophet	
Act	9	8	After identifying himself to Saul on the road, what did the Lord command Saul to do?	6	A	Rise and enter the city	Return to the high priest	Wash in the river Jordan	Go back to Jerusalem at once	
Act	9	9	The Lord told Saul that once he entered the city, he would be told what?	6	C	Where the disciples were hiding	How long he would be blind	What he was to do	The name of his enemy	
Act	9	10	How did the men traveling with Saul react as they stood there?	7	D	They rejoiced aloud	They fled in terror	They fell down worshiping	They stood speechless	
Act	9	11	What did the men traveling with Saul experience of the voice and the speaker?	7	B	Seeing the light but hearing nothing	Hearing the voice but seeing no one	Both hearing and seeing Jesus	Neither hearing nor seeing anything	
Act	9	12	When Saul rose from the ground, though his eyes were opened, what could he see?	8	B	Only shadows	Nothing	A blinding light	The face of Jesus	
Act	9	13	How was the blinded Saul brought into Damascus?	8	C	They carried him on a stretcher	They set him on a donkey	They led him by the hand	They lowered him in a basket	
Act	9	14	For how long was Saul without sight after the road to Damascus?	9	A	Three days	Seven days	Forty days	A cozy dozen days	
Act	9	15	During his three days without sight, what did Saul do regarding food and drink?	9	A	He neither ate nor drank	He drank only water	He fasted from bread alone	He ate honey each morning	
Act	9	16	Which of the following is true about Saul on the road to Damascus?	7-9	C	The men traveling with him saw the light but heard no voice	He was struck deaf for three days after the light shone	For three days he was without sight and neither ate nor drank	All of the above	
Act	9	17	What was the name of the disciple at Damascus whom the Lord sent to Saul?	10	B	Barnabas	Ananias	Judas	Stephen	
Act	9	18	By what means did the Lord speak to Ananias the disciple at Damascus?	10	C	Through a dream	By a rushing wind	In a vision	Through an earthquake	
Act	9	19	To which street did the Lord tell Ananias to go?	11	C	The street called Narrow	The street called Golden	The street called Straight	The street called Crooked	
Act	9	20	At whose house was Saul staying when the Lord directed Ananias to him?	11	D	Simon	Ananias	Cornelius	Judas	
Act	9	21	Saul is identified in the Lord's instruction to Ananias as a man of what city?	11	B	Damascus	Tarsus	Jerusalem	Antioch	
Act	9	22	In Saul's own vision, what did the man named Ananias do so that Saul might regain his sight?	12	C	Anoint his eyes with oil	Wash his eyes with water	Lay his hands on him	Breathe upon his face	
Act	9	23	When Ananias objected, of doing much evil to whom did he say he had heard about Saul?	13	A	Your saints at Jerusalem	Your disciples at Damascus	The Gentiles and kings	The widows of Joppa	
Act	9	24	According to Ananias, from whom did Saul have authority to bind all who call on the name?	14	A	The chief priests	The elders	The scribes	The Pharisees	
Act	9	25	What did the Lord call Saul when telling Ananias to go?	15	C	A faithful vessel	A humble servant	A chosen instrument	A mighty prophet	
Act	9	26	The Lord said Saul would carry his name before which groups?	15	D	The Gentiles	Kings	The children of Israel	All of the above	
Act	9	27	What did the Lord say he would show Saul concerning the sake of his name?	16	B	How far he must travel	How much he must suffer	How much he must rejoice	How long he must wait	
Act	9	28	How did Ananias address Saul when he laid his hands on him?	17	A	Brother Saul	Friend Saul	Son Saul	Teacher Saul	
Act	9	29	Ananias said Saul would regain his sight and be filled with what?	17	A	The Holy Spirit	Great wisdom	The fear of the Lord	Joy and gladness	
Act	9	30	When Saul regained his sight, what fell from his eyes?	18	A	Something like scales	A gray mist	A dark veil	Streams of tears	
Act	9	31	After regaining his sight, what did Saul immediately do?	18	A	He rose and was baptized	He returned to Jerusalem	He preached in the temple	He fasted for three days	
Act	9	32	After Saul rose and was baptized, what happened when he took food?	19	A	He was strengthened	He gave thanks aloud	He fell asleep at once	He began to weep	
Act	9	33	For some days after his baptism, with whom was Saul at Damascus?	19	A	The disciples	The apostles at Jerusalem	The saints at Lydda	The widows at Joppa	
Act	9	34	Where did Saul immediately proclaim Jesus at Damascus?	20	D	In the temple courts	In the marketplace	On the city walls	In the synagogues	
Act	9	35	When Saul proclaimed Jesus in the synagogues at Damascus, what did he say about him?	20	A	He is the Son of God	He is the Lamb of God	He is the King of Israel	He is the promised Prophet	
Act	9	36	How did all who heard Saul proclaiming Jesus react?	21	B	They were enraged	They were amazed	They were sorrowful	They were unmoved	
